country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
410	Republic of Korea	47.27	57.35	60.51	63.29	67.03	69.26	71.75	74.56	77.02	78.79	80.59	82.69	84.43	85.7	2018
920	South-Eastern Asia	48.2575664	51.75377521	54.70855746	57.23850086	58.61251159	60.12032329	63.79930563	66.03172966	67.90683229	69.33738735	70.61423759	72.50155501	74.2502076	75.50731443	2018
96	Brunei Darussalam	52.68	53.91	58.4	61.65	64.61	67.28	69.51	71.14	72.47	73.62	74.61	75.51	76.22	76.88	2018
116	Cambodia	41.72	42.63	43.19	43.96	40.67	18.12	47.26	54.38	56.56	58.63	62.96	67.35	69.55	71.5	2018
360	Indonesia	44.27	47.46	50.48	53.17	55.87	58.37	60.76	62.7	64.72	66.46	67.99	70.28	72.21	73.63	2018
418	Lao People's Dem. Republic	42.91	44.25	45.65	47	48.45	49.65	51.14	53.56	56.1	59.15	62.04	64.82	67.28	69.24	2018
458	Malaysia	56.52	59.84	62.79	65.07	67.52	69.39	71.23	72.22	73.46	74.24	75.35	76.27	77.19	78.1	2018
104	Myanmar	39.31	43.97	46.71	50.46	52.96	55.15	57.28	59.37	60.93	62.41	63.88	65.81	68.02	69.75	2018
608	Philippines	58.47	61.91	64.15	65.33	65.9	66.24	67.49	68.5	70.74	72.06	72.44	73.38	74.61	75.31	2018
702	Singapore	63.04	67.73	70.04	70.76	72.76	74.26	75.68	77.11	79.17	79.53	81.76	83.66	84.52	85.52	2018
764	Thailand	53.57	55.62	58.51	60.59	63.3	66.24	68.87	72.71	73.67	74.29	74.9	76.59	78.87	80.62	2018
626	Timor-Leste	30.37	33.05	35.57	38.12	40.72	32.47	40.68	48.01	52	58	63	67.63	69.51	71.26	2018
704	Viet Nam	56.52	60.72	64.37	67.08	63.49	70.64	72.52	74.22	75.96	77.21	78.1	78.67	79.06	79.4	2018
