country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
716	Zimbabwe	16296.068	18006.9129	19934.8432	21956.5313	23994.8281	26006.6804	27960.4785	29895.4563	31785.9009	33606.0332	35339.2479	36967.1066	38376.9887	39634.685	40788.5901	41846.0343
911	Middle Africa	208780.1873	241455.4149	277815.389	317756.2013	360968.2974	407362.1943	457146.3795	509135.8231	564693.357	621836.6091	680894.8546	741249.6868	801464.0523	862303.9673	925316.5733	987974.9841
24	Angola	38829.0245	45745.1359	53656.8264	62629.8555	72665.3578	83867.2159	96320.2931	110043.2932	125136.9825	141223.2056	158822.549	177991.7314	198074.7457	219826.3868	242695.3897	266778.6215
120	Cameroon	30344.7883	34536.927	39110.3966	44084.9161	49414.4421	55143.3565	61152.6753	67517.1884	74195.2226	81073.5738	88391.4223	95947.2299	103510.3244	111493.5539	119333.2016	127548.421
140	Central African Republic	5396.7982	6096.4301	6868.6504	7680.5952	8523.1302	9408.2022	10332.9066	11266.969	12194.0233	13154.8553	14092.9348	15009.5325	15896.4894	16752.9901	17605.2382	18420.3219
148	Chad	19142.9442	22152.261	25487.7354	29126.9944	33043.9636	37268.7866	41790.6305	46659.561	51732.6558	57008.4296	62393.8734	67959.2649	73474.4381	79359.0849	85113.9414	91160.1221
178	Congo	6296.8655	7168.9681	8138.3297	9194.7045	10343.2782	11568.7018	12892.6567	14315.7402	15824.0575	17424.2636	19135.538	20918.8078	22819.3784	24758.1511	26794.6379	28798.5128
180	Democratic Republic of the Congo	105122.7602	122729.3604	142720.8747	164902.3463	189324.5435	215769.7233	244727.183	275538.6051	307627.6506	342356.017	378334.1056	415856.4574	454648.6615	494397.9996	533512.9925	573333.2966
226	Equatorial Guinea	1654.5829	1917.2853	2187.9019	2476.4337	2781.1679	3098.4254	3430.776	3774.3118	4121.0963	4475.6605	4828.1725	5190.2125	5561.3613	5930.8764	6312.0807	6678.852
266	Gabon	2514.0469	2804.0827	3103.7293	3421.0677	3760.4661	4115.219	4475.6551	4842.0518	5208.5333	5580.1762	5963.3985	6360.275	6769.2573	7162.3121	7575.1568	7952.3771
678	Sao Tome and Principe	244.0816	274.1731	307.9194	344.665	384.6143	427.6984	473.9025	522.3603	573.8726	628.2647	684.5485	743.0766	804.0832	864.7592	926.7748	991.1272
913	Southern Africa	72230.4456	76764.0624	81133.3049	85347.0225	89430.6542	93364.9272	96925.1451	100222.7434	103312.0988	106160.6624	108840.2947	111343.618	113511.2652	115645.6918	117675.3228	119275.6964
72	Botswana	2592.9656	2829.9041	3067.2967	3304.6623	3535.0611	3758.4271	3967.5999	4165.6825	4358.4595	4535.3324	4693.877	4845.3485	4991.6438	5128.9763	5257.3259	5363.3989
748	Eswatini	1237.2092	1328.1458	1452.4832	1584.6335	1717.6999	1850.6619	1980.9869	2105.0489	2226.4901	2341.2951	2447.7424	2547.2927	2640.7601	2730.7968	2815.1217	2884.0939
426	Lesotho	2252.8674	2381.9602	2511.9161	2643.0013	2779.0615	2916.8581	3053.4228	3180.621	3307.7809	3424.2777	3538.2131	3642.4749	3743.7567	3845.7709	3925.4981	3990.6464
516	Namibia	2804.9844	3080.0457	3368.541	3672.2246	3986.332	4312.3686	4641.1377	4964.0484	5284.8904	5602.8823	5924.5057	6230.9803	6530.6018	6816.6365	7090.1528	7339.2149
710	South Africa	63400.8814	67263.2441	70968.3563	74504.2838	77905.8209	81187.7092	84120.6796	86876.1442	89521.6918	91925.7819	94104.0196	96257.9619	98266.1593	100160.556	101846.3669	103524.5251
914	Western Africa	459284.2534	523170.5424	593608.416	670479.2281	753350.2289	842288.252	936824.7011	1035699.2218	1141176.8358	1249420.5404	1360805.1456	1476252.1125	1591117.5666	1707578.4669	1826573.1289	1946470.5216
204	Benin	13957.3535	16007.1434	18261.0246	20740.8729	23437.1471	26330.7027	29455.2063	32816.3008	36410.2175	40267.3102	44253.0478	48444.725	52723.8067	57298.2554	62037.4432	66828.1748
854	Burkina Faso	24238.3948	28030.9657	32280.3975	36986.6127	42146.6634	47712.6808	53702.6198	60222.173	67256.5987	74572.6331	82134.3186	90185.9912	98429.8398	106783.3469	115479.7073	124321.4106
